language,year,creator,first_release,typing_discipline,paradigm,github_repositories,stackoverflow_questions,tiobe_rank,pypl_rank,github_stars,average_salary_usd,learning_difficulty,performance_score,ai_popularity_score,web_development_score,data_science_score,mobile_score,game_dev_score,embedded_score,demand_score
Python,2020,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",191362,148794,1,1,26059,113424.84,3.12,45.13,95.88,55.51,96.74,14.93,16.59,13.52,49.56
JavaScript,2020,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",171896,144226,2,2,27955,114523.82,3.24,50.87,52.28,94.27,29.18,31.2,53.64,8.36,30.48
Java,2020,James Gosling,1995,Static,Object-Oriented,162887,119837,3,3,23035,116104.08,4.84,71.33,35.53,61.91,28.86,58.46,28.69,14.75,28.98
SQL,2020,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,182886,129227,4,4,28301,98210.82,2.3,54.69,13.79,33.98,57.58,1.0,1.0,1.0,12.8
C++,2020,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",154821,123211,5,6,25146,123501.86,7.63,93.56,21.1,2.67,28.66,2.04,79.02,90.46,18.78
TypeScript,2020,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",91778,69415,6,5,15377,127233.18,4.32,50.24,48.82,95.36,30.58,21.8,34.81,1.63,29.7
C#,2020,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",113727,93882,7,7,22348,104573.81,4.73,76.03,29.83,39.88,18.31,32.92,78.25,15.97,18.62
C,2020,Dennis Ritchie,1972,Static,Procedural,158019,117545,8,8,26310,108691.34,6.94,98.04,11.38,7.12,7.18,4.28,35.79,100.0,17.22
Shell (Bash),2020,Brian Fox,1989,Dynamic,"Scripting, Procedural",98552,69504,9,10,17322,92890.75,3.07,60.06,5.59,14.84,16.29,7.28,1.0,53.59,17.25
PHP,2020,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",98588,73704,10,11,16421,88111.74,2.96,43.81,9.31,85.44,3.37,1.0,1.0,4.61,12.33
Go,2020,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",56971,43392,11,12,9751,131130.4,3.36,83.17,24.5,58.81,5.99,1.69,1.87,20.72,24.06
Swift,2020,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",41517,32727,12,14,6892,130487.24,4.72,75.59,5.41,4.38,6.32,88.79,18.07,13.48,24.79
Ruby,2020,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,68284,52489,13,15,9958,107610.2,3.05,41.23,8.45,61.8,7.53,4.96,1.0,1.0,15.94
Kotlin,2020,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",40970,33669,14,16,7710,123245.39,4.51,69.38,6.48,19.99,1.0,81.67,7.77,3.37,22.51
R,2020,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",57934,50041,15,9,10022,101269.64,4.04,37.35,55.07,9.77,76.32,1.0,4.18,1.24,26.18
MATLAB,2020,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",59989,46869,16,13,10210,108618.28,3.98,46.5,15.18,3.16,60.89,5.9,1.0,18.73,18.16
Rust,2020,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",37017,27862,17,17,5586,137376.22,6.48,99.99,25.75,32.02,5.0,7.04,31.57,67.85,29.49
Perl,2020,Larry Wall,1987,Dynamic,"Procedural, Scripting",43346,32622,18,20,7253,98033.44,5.55,62.38,1.0,9.19,1.0,1.12,5.12,1.14,12.25
VB.NET,2020,Microsoft,2002,Static,"Object-Oriented, Event-driven",34777,24526,19,21,5344,92118.19,3.32,56.28,5.48,16.57,1.0,1.0,1.46,6.32,12.95
Scala,2020,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",31212,20616,20,19,5042,127388.8,6.58,80.23,18.38,28.38,29.17,1.0,8.82,3.8,23.3
Lua,2020,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",30330,25907,21,22,4945,102898.92,3.54,62.31,2.57,3.19,2.29,4.82,66.82,44.48,14.57
Dart,2020,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",20640,14891,22,23,3309,104749.88,4.05,58.55,5.01,20.54,3.8,74.09,3.54,5.95,13.81
Objective-C,2020,Brad Cox & Tom Love,1984,Static,Object-Oriented,30910,23562,23,24,5353,106845.75,6.12,71.22,1.0,1.0,1.0,35.55,4.22,6.91,13.96
Groovy,2020,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",16868,13970,24,26,2921,101068.85,4.72,60.72,4.5,21.56,1.0,1.0,4.36,6.74,13.82
Haskell,2020,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,18692,14265,25,25,2941,119736.9,7.95,85.21,6.08,5.95,14.65,1.0,4.19,4.06,23.34
Elixir,2020,José Valim,2011,Dynamic,"Functional, Concurrent",11606,10541,26,28,2086,113207.48,5.47,64.32,1.72,28.76,1.31,5.86,1.87,4.12,11.76
Julia,2020,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",10084,7662,27,18,1602,117506.65,5.32,72.87,48.07,1.0,70.94,4.49,1.0,1.0,21.64
Clojure,2020,Rich Hickey,2007,Dynamic,Functional,12085,8527,28,27,1842,116640.54,6.24,66.52,2.57,20.2,12.53,3.42,5.99,12.25,15.05
F#,2020,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",9587,8252,29,29,1431,111464.28,6.86,77.64,6.46,15.15,11.69,1.0,1.0,2.07,17.68
Python,2021,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",208770,144722,1,1,35945,121690.3,2.95,46.06,96.42,54.26,97.24,19.89,19.38,8.29,49.5
JavaScript,2021,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",184919,133638,2,2,30933,115424.07,3.7,51.67,50.66,100.0,29.64,30.91,55.72,5.88,30.8
Java,2021,James Gosling,1995,Static,Object-Oriented,180746,131236,3,3,31640,119988.83,4.82,73.56,40.2,58.31,33.81,55.27,27.21,18.96,26.52
SQL,2021,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,183230,151483,4,5,32384,100917.87,2.51,50.94,12.68,28.16,58.27,2.31,3.34,1.0,17.44
TypeScript,2021,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",110358,80144,5,4,17785,130118.95,4.54,52.35,46.02,98.1,33.91,29.38,32.22,4.1,27.66
C#,2021,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",128244,102446,6,6,23050,114998.86,5.07,73.39,23.12,38.26,22.15,30.86,75.94,9.31,17.77
C++,2021,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",168954,115844,7,7,23922,124864.57,7.55,96.34,18.37,3.76,28.81,10.4,84.66,88.16,21.19
C,2021,Dennis Ritchie,1972,Static,Procedural,142455,109303,8,8,23425,103311.08,7.2,96.86,12.49,2.29,13.0,3.86,35.79,100.0,20.87
Shell (Bash),2021,Brian Fox,1989,Dynamic,"Scripting, Procedural",108530,89080,9,10,17311,94187.49,2.9,55.09,3.84,9.54,16.37,1.0,1.0,57.02,12.67
PHP,2021,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",98745,82105,10,11,18729,91871.03,3.08,42.81,5.54,88.89,9.97,6.52,4.46,4.39,14.68
Go,2021,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",66050,51988,11,12,12348,132767.0,3.61,82.93,19.26,51.91,17.23,4.11,7.59,29.95,24.15
Swift,2021,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",47988,34871,12,15,7704,135184.38,4.55,73.34,11.06,9.76,2.08,89.24,22.54,10.01,21.79
Ruby,2021,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,70274,55726,13,17,13351,114420.65,2.93,40.84,11.02,60.09,1.29,10.94,1.0,1.0,18.05
Kotlin,2021,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",51649,34304,14,16,8560,129409.16,4.31,70.14,7.41,29.41,11.35,83.36,18.24,4.1,17.8
R,2021,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",67983,49166,15,9,10828,98597.38,3.86,40.11,57.47,6.03,90.08,1.0,1.0,1.0,20.04
Rust,2021,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",45556,33314,16,14,8047,145078.45,6.53,97.6,25.12,40.5,14.4,4.47,25.02,73.72,26.31
MATLAB,2021,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",63382,44128,17,13,9812,116107.05,3.97,51.15,16.74,1.0,56.85,1.0,12.45,22.41,15.67
Perl,2021,Larry Wall,1987,Dynamic,"Procedural, Scripting",41763,28411,18,20,5801,103432.24,5.39,60.76,1.0,11.06,3.18,1.0,1.0,9.3,15.28
Scala,2021,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",34506,22721,19,19,5586,132481.77,6.33,80.65,12.57,17.53,34.91,1.0,1.0,1.0,19.06
VB.NET,2021,Microsoft,2002,Static,"Object-Oriented, Event-driven",30510,21380,20,22,5026,94761.05,3.62,56.94,4.62,12.83,1.0,1.0,8.01,5.3,14.12
